Kod;Nazwa;Wskaźniki;Rok;Wartosc;Jednostka miary;Atrybut
0201044;Nowogrodziec - miasto (4);udział powierzchni terenów zieleni w powierzchni ogółem;2015;1,53;%; 
0201044;Nowogrodziec - miasto (4);udział powierzchni terenów zieleni w powierzchni ogółem;2022;1,14;%; 
0201044;Nowogrodziec - miasto (4);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2015;-;szt.; 
0201044;Nowogrodziec - miasto (4);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2022;0,0;szt.; 
0201045;Nowogrodziec - obszar wiejski (5);udział powierzchni terenów zieleni w powierzchni ogółem;2015;0,17;%; 
0201045;Nowogrodziec - obszar wiejski (5);udział powierzchni terenów zieleni w powierzchni ogółem;2022;0,19;%; 
0201045;Nowogrodziec - obszar wiejski (5);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2015;-;szt.; 
0201045;Nowogrodziec - obszar wiejski (5);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2022;0,0;szt.; 
0201052;Osiecznica (2);udział powierzchni terenów zieleni w powierzchni ogółem;2015;0,03;%; 
0201052;Osiecznica (2);udział powierzchni terenów zieleni w powierzchni ogółem;2022;0,03;%; 
0201052;Osiecznica (2);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2015;-;szt.; 
0201052;Osiecznica (2);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2022;0,0;szt.; 
0201062;Warta Bolesławiecka (2);udział powierzchni terenów zieleni w powierzchni ogółem;2015;0,25;%; 
0201062;Warta Bolesławiecka (2);udział powierzchni terenów zieleni w powierzchni ogółem;2022;0,27;%; 
0201062;Warta Bolesławiecka (2);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2015;-;szt.; 
0201062;Warta Bolesławiecka (2);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2022;0,0;szt.; 
0202011;Bielawa (1);udział powierzchni terenów zieleni w powierzchni ogółem;2015;3,73;%; 
0202011;Bielawa (1);udział powierzchni terenów zieleni w powierzchni ogółem;2022;3,91;%; 
0202011;Bielawa (1);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2015;-;szt.; 
0202011;Bielawa (1);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2022;11,4;szt.; 
0202021;Dzierżoniów (1);udział powierzchni terenów zieleni w powierzchni ogółem;2015;5,26;%; 
0202021;Dzierżoniów (1);udział powierzchni terenów zieleni w powierzchni ogółem;2022;5,15;%; 
0202021;Dzierżoniów (1);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2015;-;szt.; 
0202021;Dzierżoniów (1);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2022;30,0;szt.; 
0202031;Pieszyce (1);udział powierzchni terenów zieleni w powierzchni ogółem;2015;0,5;%; 
0202031;Pieszyce (1);udział powierzchni terenów zieleni w powierzchni ogółem;2022;-;%; 
0202031;Pieszyce (1);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2015;-;szt.; 
0202031;Pieszyce (1);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2022;-;szt.; 
0202033;Pieszyce (3);udział powierzchni terenów zieleni w powierzchni ogółem;2015;-;%; 
0202033;Pieszyce (3);udział powierzchni terenów zieleni w powierzchni ogółem;2022;0,49;%; 
0202033;Pieszyce (3);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2015;-;szt.; 
0202033;Pieszyce (3);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2022;0,0;szt.; 
0202034;Pieszyce - miasto (4);udział powierzchni terenów zieleni w powierzchni ogółem;2015;-;%; 
0202034;Pieszyce - miasto (4);udział powierzchni terenów zieleni w powierzchni ogółem;2022;0,45;%; 
0202034;Pieszyce - miasto (4);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2015;-;szt.; 
0202034;Pieszyce - miasto (4);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2022;0,0;szt.; 
0202035;Pieszyce - obszar wiejski (5);udział powierzchni terenów zieleni w powierzchni ogółem;2015;-;%; 
0202035;Pieszyce - obszar wiejski (5);udział powierzchni terenów zieleni w powierzchni ogółem;2022;0,51;%; 
0202035;Pieszyce - obszar wiejski (5);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2015;-;szt.; 
0202035;Pieszyce - obszar wiejski (5);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2022;0,0;szt.; 
0202041;Piława Górna (1);udział powierzchni terenów zieleni w powierzchni ogółem;2015;0,43;%; 
0202041;Piława Górna (1);udział powierzchni terenów zieleni w powierzchni ogółem;2022;0,42;%; 
0202041;Piława Górna (1);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2015;-;szt.; 
0202041;Piława Górna (1);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2022;2,4;szt.; 
0202052;Dzierżoniów (2);udział powierzchni terenów zieleni w powierzchni ogółem;2015;0,29;%; 
0202052;Dzierżoniów (2);udział powierzchni terenów zieleni w powierzchni ogółem;2022;0,28;%; 
0202052;Dzierżoniów (2);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2015;-;szt.; 
0202052;Dzierżoniów (2);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2022;1,4;szt.; 
0202062;Łagiewniki (2);udział powierzchni terenów zieleni w powierzchni ogółem;2015;0,21;%; 
0202062;Łagiewniki (2);udział powierzchni terenów zieleni w powierzchni ogółem;2022;0,21;%; 
0202062;Łagiewniki (2);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2015;-;szt.; 
0202062;Łagiewniki (2);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2022;1,2;szt.; 
0202073;Niemcza (3);udział powierzchni terenów zieleni w powierzchni ogółem;2015;0,35;%; 
0202073;Niemcza (3);udział powierzchni terenów zieleni w powierzchni ogółem;2022;0,31;%; 
0202073;Niemcza (3);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2015;-;szt.; 
0202073;Niemcza (3);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2022;0,0;szt.; 
0202074;Niemcza - miasto (4);udział powierzchni terenów zieleni w powierzchni ogółem;2015;0,54;%; 
0202074;Niemcza - miasto (4);udział powierzchni terenów zieleni w powierzchni ogółem;2022;0,54;%; 
0202074;Niemcza - miasto (4);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2015;-;szt.; 
0202074;Niemcza - miasto (4);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2022;0,0;szt.; 
0202075;Niemcza - obszar wiejski (5);udział powierzchni terenów zieleni w powierzchni ogółem;2015;0,27;%; 
0202075;Niemcza - obszar wiejski (5);udział powierzchni terenów zieleni w powierzchni ogółem;2022;0,22;%; 
0202075;Niemcza - obszar wiejski (5);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2015;-;szt.; 
0202075;Niemcza - obszar wiejski (5);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2022;0,0;szt.; 
0203011;Głogów (1);udział powierzchni terenów zieleni w powierzchni ogółem;2015;6,64;%; 
0203011;Głogów (1);udział powierzchni terenów zieleni w powierzchni ogółem;2022;6,66;%; 
0203011;Głogów (1);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2015;-;szt.; 
0203011;Głogów (1);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2022;87,0;szt.; 
0203022;Głogów (2);udział powierzchni terenów zieleni w powierzchni ogółem;2015;0,43;%; 
0203022;Głogów (2);udział powierzchni terenów zieleni w powierzchni ogółem;2022;0,43;%; 
0203022;Głogów (2);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2015;-;szt.; 
0203022;Głogów (2);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2022;0,2;szt.; 
0203032;Jerzmanowa (2);udział powierzchni terenów zieleni w powierzchni ogółem;2015;0,07;%; 
0203032;Jerzmanowa (2);udział powierzchni terenów zieleni w powierzchni ogółem;2022;0,21;%; 
0203032;Jerzmanowa (2);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2015;-;szt.; 
0203032;Jerzmanowa (2);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2022;0,7;szt.; 
0203042;Kotla (2);udział powierzchni terenów zieleni w powierzchni ogółem;2015;0,08;%; 
0203042;Kotla (2);udział powierzchni terenów zieleni w powierzchni ogółem;2022;0,12;%; 
0203042;Kotla (2);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2015;-;szt.; 
0203042;Kotla (2);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2022;0,0;szt.; 
0203052;Pęcław (2);udział powierzchni terenów zieleni w powierzchni ogółem;2015;0,1;%; 
0203052;Pęcław (2);udział powierzchni terenów zieleni w powierzchni ogółem;2022;0,1;%; 
0203052;Pęcław (2);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2015;-;szt.; 
0203052;Pęcław (2);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2022;1,3;szt.; 
0203062;Żukowice (2);udział powierzchni terenów zieleni w powierzchni ogółem;2015;0,12;%; 
0203062;Żukowice (2);udział powierzchni terenów zieleni w powierzchni ogółem;2022;0,12;%; 
0203062;Żukowice (2);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2015;-;szt.; 
0203062;Żukowice (2);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2022;0,5;szt.; 
0204013;Góra (3);udział powierzchni terenów zieleni w powierzchni ogółem;2015;0,26;%; 
0204013;Góra (3);udział powierzchni terenów zieleni w powierzchni ogółem;2022;0,27;%; 
0204013;Góra (3);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2015;-;szt.; 
0204013;Góra (3);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2022;2,2;szt.; 
0204014;Góra - miasto (4);udział powierzchni terenów zieleni w powierzchni ogółem;2015;1,86;%; 
0204014;Góra - miasto (4);udział powierzchni terenów zieleni w powierzchni ogółem;2022;1,87;%; 
0204014;Góra - miasto (4);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2015;-;szt.; 
0204014;Góra - miasto (4);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2022;41,1;szt.; 
0204015;Góra - obszar wiejski (5);udział powierzchni terenów zieleni w powierzchni ogółem;2015;0,18;%; 
0204015;Góra - obszar wiejski (5);udział powierzchni terenów zieleni w powierzchni ogółem;2022;0,19;%; 
0204015;Góra - obszar wiejski (5);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2015;-;szt.; 
0204015;Góra - obszar wiejski (5);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2022;0,0;szt.; 
0204022;Jemielno (2);udział powierzchni terenów zieleni w powierzchni ogółem;2015;0,09;%; 
0204022;Jemielno (2);udział powierzchni terenów zieleni w powierzchni ogółem;2022;0,07;%; 
0204022;Jemielno (2);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2015;-;szt.; 
0204022;Jemielno (2);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2022;0,0;szt.; 
0204032;Niechlów (2);udział powierzchni terenów zieleni w powierzchni ogółem;2015;0,14;%; 
0204032;Niechlów (2);udział powierzchni terenów zieleni w powierzchni ogółem;2022;0,15;%; 
0204032;Niechlów (2);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2015;-;szt.; 
0204032;Niechlów (2);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2022;0,2;szt.; 
0204043;Wąsosz (3);udział powierzchni terenów zieleni w powierzchni ogółem;2015;0,21;%; 
0204043;Wąsosz (3);udział powierzchni terenów zieleni w powierzchni ogółem;2022;0,21;%; 
0204043;Wąsosz (3);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2015;-;szt.; 
0204043;Wąsosz (3);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2022;1,3;szt.; 
0204044;Wąsosz - miasto (4);udział powierzchni terenów zieleni w powierzchni ogółem;2015;4,84;%; 
0204044;Wąsosz - miasto (4);udział powierzchni terenów zieleni w powierzchni ogółem;2022;4,54;%; 
0204044;Wąsosz - miasto (4);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2015;-;szt.; 
0204044;Wąsosz - miasto (4);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2022;12,3;szt.; 
0204045;Wąsosz - obszar wiejski (5);udział powierzchni terenów zieleni w powierzchni ogółem;2015;0,13;%; 
0204045;Wąsosz - obszar wiejski (5);udział powierzchni terenów zieleni w powierzchni ogółem;2022;0,14;%; 
0204045;Wąsosz - obszar wiejski (5);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2015;-;szt.; 
0204045;Wąsosz - obszar wiejski (5);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2022;1,2;szt.; 
0205011;Jawor (1);udział powierzchni terenów zieleni w powierzchni ogółem;2015;5,22;%; 
0205011;Jawor (1);udział powierzchni terenów zieleni w powierzchni ogółem;2022;5,07;%; 
0205011;Jawor (1);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2015;-;szt.; 
0205011;Jawor (1);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2022;3,8;szt.; 
0205023;Bolków (3);udział powierzchni terenów zieleni w powierzchni ogółem;2015;0,4;%; 
0205023;Bolków (3);udział powierzchni terenów zieleni w powierzchni ogółem;2022;0,41;%; 
0205023;Bolków (3);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2015;-;szt.; 
0205023;Bolków (3);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2022;14,6;szt.; 
0205024;Bolków - miasto (4);udział powierzchni terenów zieleni w powierzchni ogółem;2015;1,96;%; 
0205024;Bolków - miasto (4);udział powierzchni terenów zieleni w powierzchni ogółem;2022;2,07;%; 
0205024;Bolków - miasto (4);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2015;-;szt.; 
0205024;Bolków - miasto (4);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2022;39,3;szt.; 
0205025;Bolków - obszar wiejski (5);udział powierzchni terenów zieleni w powierzchni ogółem;2015;0,32;%; 
0205025;Bolków - obszar wiejski (5);udział powierzchni terenów zieleni w powierzchni ogółem;2022;0,32;%; 
0205025;Bolków - obszar wiejski (5);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2015;-;szt.; 
0205025;Bolków - obszar wiejski (5);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2022;13,4;szt.; 
0205032;Męcinka (2);udział powierzchni terenów zieleni w powierzchni ogółem;2015;0,06;%; 
0205032;Męcinka (2);udział powierzchni terenów zieleni w powierzchni ogółem;2022;0,06;%; 
0205032;Męcinka (2);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2015;-;szt.; 
0205032;Męcinka (2);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2022;0,5;szt.; 
0205042;Mściwojów (2);udział powierzchni terenów zieleni w powierzchni ogółem;2015;0,27;%; 
0205042;Mściwojów (2);udział powierzchni terenów zieleni w powierzchni ogółem;2022;0,25;%; 
0205042;Mściwojów (2);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2015;-;szt.; 
0205042;Mściwojów (2);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2022;2,1;szt.; 
0205052;Paszowice (2);udział powierzchni terenów zieleni w powierzchni ogółem;2015;0,18;%; 
0205052;Paszowice (2);udział powierzchni terenów zieleni w powierzchni ogółem;2022;0,18;%; 
0205052;Paszowice (2);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2015;-;szt.; 
0205052;Paszowice (2);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2022;1,1;szt.; 
0205062;Wądroże Wielkie (2);udział powierzchni terenów zieleni w powierzchni ogółem;2015;0,06;%; 
0205062;Wądroże Wielkie (2);udział powierzchni terenów zieleni w powierzchni ogółem;2022;0,06;%; 
0205062;Wądroże Wielkie (2);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2015;-;szt.; 
0205062;Wądroże Wielkie (2);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2022;3,4;szt.; 
0206011;Karpacz (1);udział powierzchni terenów zieleni w powierzchni ogółem;2015;0,7;%; 
0206011;Karpacz (1);udział powierzchni terenów zieleni w powierzchni ogółem;2022;1,94;%; 
0206011;Karpacz (1);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2015;-;szt.; 
0206011;Karpacz (1);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2022;0,9;szt.; 
0206021;Kowary (1);udział powierzchni terenów zieleni w powierzchni ogółem;2015;1,55;%; 
0206021;Kowary (1);udział powierzchni terenów zieleni w powierzchni ogółem;2022;1,59;%; 
0206021;Kowary (1);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2015;-;szt.; 
0206021;Kowary (1);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2022;2,2;szt.; 
0206031;Piechowice (1);udział powierzchni terenów zieleni w powierzchni ogółem;2015;0,29;%; 
0206031;Piechowice (1);udział powierzchni terenów zieleni w powierzchni ogółem;2022;0,33;%; 
0206031;Piechowice (1);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2015;-;szt.; 
0206031;Piechowice (1);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2022;0,0;szt.; 
0206041;Szklarska Poręba (1);udział powierzchni terenów zieleni w powierzchni ogółem;2015;0,78;%; 
0206041;Szklarska Poręba (1);udział powierzchni terenów zieleni w powierzchni ogółem;2022;1,07;%; 
0206041;Szklarska Poręba (1);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2015;-;szt.; 
0206041;Szklarska Poręba (1);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2022;0,7;szt.; 
0206052;Janowice Wielkie (2);udział powierzchni terenów zieleni w powierzchni ogółem;2015;0,29;%; 
0206052;Janowice Wielkie (2);udział powierzchni terenów zieleni w powierzchni ogółem;2022;0,29;%; 
0206052;Janowice Wielkie (2);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2015;-;szt.; 
0206052;Janowice Wielkie (2);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2022;0,4;szt.; 
0206062;Jeżów Sudecki (2);udział powierzchni terenów zieleni w powierzchni ogółem;2015;0,3;%; 
0206062;Jeżów Sudecki (2);udział powierzchni terenów zieleni w powierzchni ogółem;2022;0,31;%; 
0206062;Jeżów Sudecki (2);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2015;-;szt.; 
0206062;Jeżów Sudecki (2);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2022;0,0;szt.; 
0206072;Mysłakowice (2);udział powierzchni terenów zieleni w powierzchni ogółem;2015;0,11;%; 
0206072;Mysłakowice (2);udział powierzchni terenów zieleni w powierzchni ogółem;2022;0,91;%; 
0206072;Mysłakowice (2);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2015;-;szt.; 
0206072;Mysłakowice (2);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2022;1,2;szt.; 
0206082;Podgórzyn (2);udział powierzchni terenów zieleni w powierzchni ogółem;2015;0,15;%; 
0206082;Podgórzyn (2);udział powierzchni terenów zieleni w powierzchni ogółem;2022;0,16;%; 
0206082;Podgórzyn (2);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2015;-;szt.; 
0206082;Podgórzyn (2);liczba nasadzeń drzew i krzewów w zadrzewieniach oraz terenach zieleni na 1 km2 powierzchni danej jednostki terytorialnej;2022;5,0;szt.; 
0206092;Stara Kamienica (2);udział powierzchni terenów zieleni w powierzchni ogółem;2015;0,06;%; 
0206092;Stara Kamienica (2);udział powierzchni terenów zieleni w powierzchni ogółem;2022;0,32;%; 
