Kod;Nazwa;Wiek;Rok;Wartosc;Jednostka miary;Atrybut
0202011;Bielawa (1);w wieku produkcyjnym;2022;56,9;%; 
0202021;Dzierżoniów (1);w wieku przedprodukcyjnym;2015;14,7;%; 
0202021;Dzierżoniów (1);w wieku przedprodukcyjnym;2022;14,6;%; 
0202021;Dzierżoniów (1);w wieku produkcyjnym;2015;60,6;%; 
0202021;Dzierżoniów (1);w wieku produkcyjnym;2022;55,6;%; 
0202031;Pieszyce (1);w wieku przedprodukcyjnym;2015;17,0;%; 
0202031;Pieszyce (1);w wieku przedprodukcyjnym;2022;-;%; 
0202031;Pieszyce (1);w wieku produkcyjnym;2015;63,1;%; 
0202031;Pieszyce (1);w wieku produkcyjnym;2022;-;%; 
0202033;Pieszyce (3);w wieku przedprodukcyjnym;2015;-;%; 
0202033;Pieszyce (3);w wieku przedprodukcyjnym;2022;17,0;%; 
0202033;Pieszyce (3);w wieku produkcyjnym;2015;-;%; 
0202033;Pieszyce (3);w wieku produkcyjnym;2022;58,3;%; 
0202034;Pieszyce - miasto (4);w wieku przedprodukcyjnym;2015;-;%; 
0202034;Pieszyce - miasto (4);w wieku przedprodukcyjnym;2022;16,9;%; 
0202034;Pieszyce - miasto (4);w wieku produkcyjnym;2015;-;%; 
0202034;Pieszyce - miasto (4);w wieku produkcyjnym;2022;58,2;%; 
0202035;Pieszyce - obszar wiejski (5);w wieku przedprodukcyjnym;2015;-;%; 
0202035;Pieszyce - obszar wiejski (5);w wieku przedprodukcyjnym;2022;17,3;%; 
0202035;Pieszyce - obszar wiejski (5);w wieku produkcyjnym;2015;-;%; 
0202035;Pieszyce - obszar wiejski (5);w wieku produkcyjnym;2022;58,9;%; 
0202041;Piława Górna (1);w wieku przedprodukcyjnym;2015;17,1;%; 
0202041;Piława Górna (1);w wieku przedprodukcyjnym;2022;16,9;%; 
0202041;Piława Górna (1);w wieku produkcyjnym;2015;64,6;%; 
0202041;Piława Górna (1);w wieku produkcyjnym;2022;58,7;%; 
0202052;Dzierżoniów (2);w wieku przedprodukcyjnym;2015;16,7;%; 
0202052;Dzierżoniów (2);w wieku przedprodukcyjnym;2022;18,3;%; 
0202052;Dzierżoniów (2);w wieku produkcyjnym;2015;65,0;%; 
0202052;Dzierżoniów (2);w wieku produkcyjnym;2022;59,3;%; 
0202062;Łagiewniki (2);w wieku przedprodukcyjnym;2015;18,0;%; 
0202062;Łagiewniki (2);w wieku przedprodukcyjnym;2022;18,3;%; 
0202062;Łagiewniki (2);w wieku produkcyjnym;2015;63,8;%; 
0202062;Łagiewniki (2);w wieku produkcyjnym;2022;58,9;%; 
0202073;Niemcza (3);w wieku przedprodukcyjnym;2015;15,3;%; 
0202073;Niemcza (3);w wieku przedprodukcyjnym;2022;15,7;%; 
0202073;Niemcza (3);w wieku produkcyjnym;2015;63,8;%; 
0202073;Niemcza (3);w wieku produkcyjnym;2022;58,3;%; 
0202074;Niemcza - miasto (4);w wieku przedprodukcyjnym;2015;13,5;%; 
0202074;Niemcza - miasto (4);w wieku przedprodukcyjnym;2022;14,4;%; 
0202074;Niemcza - miasto (4);w wieku produkcyjnym;2015;62,5;%; 
0202074;Niemcza - miasto (4);w wieku produkcyjnym;2022;56,7;%; 
0202075;Niemcza - obszar wiejski (5);w wieku przedprodukcyjnym;2015;17,4;%; 
0202075;Niemcza - obszar wiejski (5);w wieku przedprodukcyjnym;2022;17,0;%; 
0202075;Niemcza - obszar wiejski (5);w wieku produkcyjnym;2015;65,2;%; 
0202075;Niemcza - obszar wiejski (5);w wieku produkcyjnym;2022;60,2;%; 
0203011;Głogów (1);w wieku przedprodukcyjnym;2015;17,6;%; 
0203011;Głogów (1);w wieku przedprodukcyjnym;2022;16,9;%; 
0203011;Głogów (1);w wieku produkcyjnym;2015;61,9;%; 
0203011;Głogów (1);w wieku produkcyjnym;2022;55,8;%; 
0203022;Głogów (2);w wieku przedprodukcyjnym;2015;19,7;%; 
0203022;Głogów (2);w wieku przedprodukcyjnym;2022;22,0;%; 
0203022;Głogów (2);w wieku produkcyjnym;2015;66,0;%; 
0203022;Głogów (2);w wieku produkcyjnym;2022;59,6;%; 
0203032;Jerzmanowa (2);w wieku przedprodukcyjnym;2015;23,4;%; 
0203032;Jerzmanowa (2);w wieku przedprodukcyjnym;2022;24,7;%; 
0203032;Jerzmanowa (2);w wieku produkcyjnym;2015;64,6;%; 
0203032;Jerzmanowa (2);w wieku produkcyjnym;2022;61,2;%; 
0203042;Kotla (2);w wieku przedprodukcyjnym;2015;21,6;%; 
0203042;Kotla (2);w wieku przedprodukcyjnym;2022;21,3;%; 
0203042;Kotla (2);w wieku produkcyjnym;2015;63,1;%; 
0203042;Kotla (2);w wieku produkcyjnym;2022;59,8;%; 
0203052;Pęcław (2);w wieku przedprodukcyjnym;2015;20,9;%; 
0203052;Pęcław (2);w wieku przedprodukcyjnym;2022;20,3;%; 
0203052;Pęcław (2);w wieku produkcyjnym;2015;64,4;%; 
0203052;Pęcław (2);w wieku produkcyjnym;2022;58,7;%; 
0203062;Żukowice (2);w wieku przedprodukcyjnym;2015;19,5;%; 
0203062;Żukowice (2);w wieku przedprodukcyjnym;2022;21,0;%; 
0203062;Żukowice (2);w wieku produkcyjnym;2015;64,8;%; 
0203062;Żukowice (2);w wieku produkcyjnym;2022;59,5;%; 
0204013;Góra (3);w wieku przedprodukcyjnym;2015;18,5;%; 
0204013;Góra (3);w wieku przedprodukcyjnym;2022;17,7;%; 
0204013;Góra (3);w wieku produkcyjnym;2015;62,9;%; 
0204013;Góra (3);w wieku produkcyjnym;2022;58,1;%; 
0204014;Góra - miasto (4);w wieku przedprodukcyjnym;2015;17,0;%; 
0204014;Góra - miasto (4);w wieku przedprodukcyjnym;2022;16,5;%; 
0204014;Góra - miasto (4);w wieku produkcyjnym;2015;63,2;%; 
0204014;Góra - miasto (4);w wieku produkcyjnym;2022;56,8;%; 
0204015;Góra - obszar wiejski (5);w wieku przedprodukcyjnym;2015;20,7;%; 
0204015;Góra - obszar wiejski (5);w wieku przedprodukcyjnym;2022;19,3;%; 
0204015;Góra - obszar wiejski (5);w wieku produkcyjnym;2015;62,4;%; 
0204015;Góra - obszar wiejski (5);w wieku produkcyjnym;2022;59,9;%; 
0204022;Jemielno (2);w wieku przedprodukcyjnym;2015;20,0;%; 
0204022;Jemielno (2);w wieku przedprodukcyjnym;2022;18,4;%; 
0204022;Jemielno (2);w wieku produkcyjnym;2015;62,5;%; 
0204022;Jemielno (2);w wieku produkcyjnym;2022;58,8;%; 
0204032;Niechlów (2);w wieku przedprodukcyjnym;2015;19,5;%; 
0204032;Niechlów (2);w wieku przedprodukcyjnym;2022;17,9;%; 
0204032;Niechlów (2);w wieku produkcyjnym;2015;63,6;%; 
0204032;Niechlów (2);w wieku produkcyjnym;2022;59,9;%; 
0204043;Wąsosz (3);w wieku przedprodukcyjnym;2015;20,1;%; 
0204043;Wąsosz (3);w wieku przedprodukcyjnym;2022;18,5;%; 
0204043;Wąsosz (3);w wieku produkcyjnym;2015;62,3;%; 
0204043;Wąsosz (3);w wieku produkcyjnym;2022;58,5;%; 
0204044;Wąsosz - miasto (4);w wieku przedprodukcyjnym;2015;20,4;%; 
0204044;Wąsosz - miasto (4);w wieku przedprodukcyjnym;2022;19,2;%; 
0204044;Wąsosz - miasto (4);w wieku produkcyjnym;2015;62,0;%; 
0204044;Wąsosz - miasto (4);w wieku produkcyjnym;2022;56,8;%; 
0204045;Wąsosz - obszar wiejski (5);w wieku przedprodukcyjnym;2015;19,9;%; 
0204045;Wąsosz - obszar wiejski (5);w wieku przedprodukcyjnym;2022;18,1;%; 
0204045;Wąsosz - obszar wiejski (5);w wieku produkcyjnym;2015;62,4;%; 
0204045;Wąsosz - obszar wiejski (5);w wieku produkcyjnym;2022;59,5;%; 
0205011;Jawor (1);w wieku przedprodukcyjnym;2015;15,4;%; 
0205011;Jawor (1);w wieku przedprodukcyjnym;2022;15,1;%; 
0205011;Jawor (1);w wieku produkcyjnym;2015;64,1;%; 
0205011;Jawor (1);w wieku produkcyjnym;2022;56,6;%; 
0205023;Bolków (3);w wieku przedprodukcyjnym;2015;17,1;%; 
0205023;Bolków (3);w wieku przedprodukcyjnym;2022;16,9;%; 
0205023;Bolków (3);w wieku produkcyjnym;2015;62,6;%; 
0205023;Bolków (3);w wieku produkcyjnym;2022;57,6;%; 
0205024;Bolków - miasto (4);w wieku przedprodukcyjnym;2015;14,3;%; 
0205024;Bolków - miasto (4);w wieku przedprodukcyjnym;2022;15,1;%; 
0205024;Bolków - miasto (4);w wieku produkcyjnym;2015;62,5;%; 
0205024;Bolków - miasto (4);w wieku produkcyjnym;2022;57,3;%; 
0205025;Bolków - obszar wiejski (5);w wieku przedprodukcyjnym;2015;19,7;%; 
0205025;Bolków - obszar wiejski (5);w wieku przedprodukcyjnym;2022;18,6;%; 
0205025;Bolków - obszar wiejski (5);w wieku produkcyjnym;2015;62,7;%; 
0205025;Bolków - obszar wiejski (5);w wieku produkcyjnym;2022;57,9;%; 
0205032;Męcinka (2);w wieku przedprodukcyjnym;2015;19,7;%; 
0205032;Męcinka (2);w wieku przedprodukcyjnym;2022;20,7;%; 
0205032;Męcinka (2);w wieku produkcyjnym;2015;63,1;%; 
0205032;Męcinka (2);w wieku produkcyjnym;2022;59,8;%; 
0205042;Mściwojów (2);w wieku przedprodukcyjnym;2015;18,2;%; 
0205042;Mściwojów (2);w wieku przedprodukcyjnym;2022;20,4;%; 
0205042;Mściwojów (2);w wieku produkcyjnym;2015;63,3;%; 
0205042;Mściwojów (2);w wieku produkcyjnym;2022;58,0;%; 
0205052;Paszowice (2);w wieku przedprodukcyjnym;2015;17,8;%; 
0205052;Paszowice (2);w wieku przedprodukcyjnym;2022;19,1;%; 
0205052;Paszowice (2);w wieku produkcyjnym;2015;66,0;%; 
0205052;Paszowice (2);w wieku produkcyjnym;2022;60,8;%; 
0205062;Wądroże Wielkie (2);w wieku przedprodukcyjnym;2015;18,8;%; 
0205062;Wądroże Wielkie (2);w wieku przedprodukcyjnym;2022;18,0;%; 
0205062;Wądroże Wielkie (2);w wieku produkcyjnym;2015;63,6;%; 
0205062;Wądroże Wielkie (2);w wieku produkcyjnym;2022;58,8;%; 
0206011;Karpacz (1);w wieku przedprodukcyjnym;2015;13,4;%; 
0206011;Karpacz (1);w wieku przedprodukcyjnym;2022;13,5;%; 
0206011;Karpacz (1);w wieku produkcyjnym;2015;65,0;%; 
0206011;Karpacz (1);w wieku produkcyjnym;2022;57,5;%; 
0206021;Kowary (1);w wieku przedprodukcyjnym;2015;15,8;%; 
0206021;Kowary (1);w wieku przedprodukcyjnym;2022;14,6;%; 
0206021;Kowary (1);w wieku produkcyjnym;2015;62,1;%; 
0206021;Kowary (1);w wieku produkcyjnym;2022;56,1;%; 
0206031;Piechowice (1);w wieku przedprodukcyjnym;2015;15,3;%; 
0206031;Piechowice (1);w wieku przedprodukcyjnym;2022;14,2;%; 
0206031;Piechowice (1);w wieku produkcyjnym;2015;62,8;%; 
0206031;Piechowice (1);w wieku produkcyjnym;2022;56,7;%; 
0206041;Szklarska Poręba (1);w wieku przedprodukcyjnym;2015;12,9;%; 
0206041;Szklarska Poręba (1);w wieku przedprodukcyjnym;2022;14,4;%; 
0206041;Szklarska Poręba (1);w wieku produkcyjnym;2015;64,0;%; 
0206041;Szklarska Poręba (1);w wieku produkcyjnym;2022;56,8;%; 
0206052;Janowice Wielkie (2);w wieku przedprodukcyjnym;2015;15,8;%; 
0206052;Janowice Wielkie (2);w wieku przedprodukcyjnym;2022;17,6;%; 
0206052;Janowice Wielkie (2);w wieku produkcyjnym;2015;65,5;%; 
0206052;Janowice Wielkie (2);w wieku produkcyjnym;2022;58,7;%; 
0206062;Jeżów Sudecki (2);w wieku przedprodukcyjnym;2015;18,9;%; 
0206062;Jeżów Sudecki (2);w wieku przedprodukcyjnym;2022;19,5;%; 
0206062;Jeżów Sudecki (2);w wieku produkcyjnym;2015;64,6;%; 
0206062;Jeżów Sudecki (2);w wieku produkcyjnym;2022;60,4;%; 
0206072;Mysłakowice (2);w wieku przedprodukcyjnym;2015;17,6;%; 
0206072;Mysłakowice (2);w wieku przedprodukcyjnym;2022;16,8;%; 
0206072;Mysłakowice (2);w wieku produkcyjnym;2015;64,0;%; 
0206072;Mysłakowice (2);w wieku produkcyjnym;2022;59,2;%; 
0206082;Podgórzyn (2);w wieku przedprodukcyjnym;2015;15,4;%; 
0206082;Podgórzyn (2);w wieku przedprodukcyjnym;2022;16,4;%; 
0206082;Podgórzyn (2);w wieku produkcyjnym;2015;64,0;%; 
0206082;Podgórzyn (2);w wieku produkcyjnym;2022;58,4;%; 
0206092;Stara Kamienica (2);w wieku przedprodukcyjnym;2015;17,0;%; 
0206092;Stara Kamienica (2);w wieku przedprodukcyjnym;2022;17,5;%; 
0206092;Stara Kamienica (2);w wieku produkcyjnym;2015;65,5;%; 
0206092;Stara Kamienica (2);w wieku produkcyjnym;2022;60,0;%; 
0207011;Kamienna Góra (1);w wieku przedprodukcyjnym;2015;15,8;%; 
0207011;Kamienna Góra (1);w wieku przedprodukcyjnym;2022;14,0;%; 
0207011;Kamienna Góra (1);w wieku produkcyjnym;2015;61,3;%; 
0207011;Kamienna Góra (1);w wieku produkcyjnym;2022;57,8;%; 
0207022;Kamienna Góra (2);w wieku przedprodukcyjnym;2015;19,2;%; 
0207022;Kamienna Góra (2);w wieku przedprodukcyjnym;2022;19,5;%; 
0207022;Kamienna Góra (2);w wieku produkcyjnym;2015;65,6;%; 
0207022;Kamienna Góra (2);w wieku produkcyjnym;2022;60,3;%; 
0207033;Lubawka (3);w wieku przedprodukcyjnym;2015;16,2;%; 
0207033;Lubawka (3);w wieku przedprodukcyjnym;2022;15,6;%; 
0207033;Lubawka (3);w wieku produkcyjnym;2015;63,7;%; 
0207033;Lubawka (3);w wieku produkcyjnym;2022;58,2;%; 
0207034;Lubawka - miasto (4);w wieku przedprodukcyjnym;2015;16,2;%; 
0207034;Lubawka - miasto (4);w wieku przedprodukcyjnym;2022;15,1;%; 
0207034;Lubawka - miasto (4);w wieku produkcyjnym;2015;62,6;%; 
0207034;Lubawka - miasto (4);w wieku produkcyjnym;2022;57,3;%; 
0207035;Lubawka - obszar wiejski (5);w wieku przedprodukcyjnym;2015;16,2;%; 
0207035;Lubawka - obszar wiejski (5);w wieku przedprodukcyjnym;2022;16,3;%; 
0207035;Lubawka - obszar wiejski (5);w wieku produkcyjnym;2015;65,1;%; 
0207035;Lubawka - obszar wiejski (5);w wieku produkcyjnym;2022;59,3;%; 
0207042;Marciszów (2);w wieku przedprodukcyjnym;2015;17,4;%; 
0207042;Marciszów (2);w wieku przedprodukcyjnym;2022;16,6;%; 
0207042;Marciszów (2);w wieku produkcyjnym;2015;64,4;%; 
0207042;Marciszów (2);w wieku produkcyjnym;2022;59,4;%; 
0208011;Duszniki-Zdrój (1);w wieku przedprodukcyjnym;2015;14,2;%; 
0208011;Duszniki-Zdrój (1);w wieku przedprodukcyjnym;2022;13,0;%; 
0208011;Duszniki-Zdrój (1);w wieku produkcyjnym;2015;59,7;%; 
0208011;Duszniki-Zdrój (1);w wieku produkcyjnym;2022;53,7;%; 
0208021;Kłodzko (1);w wieku przedprodukcyjnym;2015;15,1;%; 
0208021;Kłodzko (1);w wieku przedprodukcyjnym;2022;14,8;%; 
0208021;Kłodzko (1);w wieku produkcyjnym;2015;60,6;%; 
0208021;Kłodzko (1);w wieku produkcyjnym;2022;56,3;%; 
0208031;Kudowa-Zdrój (1);w wieku przedprodukcyjnym;2015;15,8;%; 
0208031;Kudowa-Zdrój (1);w wieku przedprodukcyjnym;2022;15,5;%; 
0208031;Kudowa-Zdrój (1);w wieku produkcyjnym;2015;61,4;%; 
0208031;Kudowa-Zdrój (1);w wieku produkcyjnym;2022;56,8;%; 
0208041;Nowa Ruda (1);w wieku przedprodukcyjnym;2015;14,3;%; 
0208041;Nowa Ruda (1);w wieku przedprodukcyjnym;2022;14,3;%; 
0208041;Nowa Ruda (1);w wieku produkcyjnym;2015;61,6;%; 
0208041;Nowa Ruda (1);w wieku produkcyjnym;2022;56,4;%; 
0208051;Polanica-Zdrój (1);w wieku przedprodukcyjnym;2015;13,4;%; 
0208051;Polanica-Zdrój (1);w wieku przedprodukcyjnym;2022;13,2;%; 
0208051;Polanica-Zdrój (1);w wieku produkcyjnym;2015;59,4;%; 
0208051;Polanica-Zdrój (1);w wieku produkcyjnym;2022;54,3;%; 
0208063;Bystrzyca Kłodzka (3);w wieku przedprodukcyjnym;2015;15,4;%; 
0208063;Bystrzyca Kłodzka (3);w wieku przedprodukcyjnym;2022;15,6;%; 
0208063;Bystrzyca Kłodzka (3);w wieku produkcyjnym;2015;62,6;%; 
0208063;Bystrzyca Kłodzka (3);w wieku produkcyjnym;2022;56,0;%; 
0208064;Bystrzyca Kłodzka - miasto (4);w wieku przedprodukcyjnym;2015;15,5;%; 
0208064;Bystrzyca Kłodzka - miasto (4);w wieku przedprodukcyjnym;2022;15,0;%; 
0208064;Bystrzyca Kłodzka - miasto (4);w wieku produkcyjnym;2015;60,2;%; 
0208064;Bystrzyca Kłodzka - miasto (4);w wieku produkcyjnym;2022;54,5;%; 
0208065;Bystrzyca Kłodzka - obszar wiejski (5);w wieku przedprodukcyjnym;2015;15,4;%; 
0208065;Bystrzyca Kłodzka - obszar wiejski (5);w wieku przedprodukcyjnym;2022;16,3;%; 
0208065;Bystrzyca Kłodzka - obszar wiejski (5);w wieku produkcyjnym;2015;65,4;%; 
0208065;Bystrzyca Kłodzka - obszar wiejski (5);w wieku produkcyjnym;2022;57,6;%; 
0208072;Kłodzko (2);w wieku przedprodukcyjnym;2015;17,4;%; 
0208072;Kłodzko (2);w wieku przedprodukcyjnym;2022;18,0;%; 
0208072;Kłodzko (2);w wieku produkcyjnym;2015;64,7;%; 
0208072;Kłodzko (2);w wieku produkcyjnym;2022;59,3;%; 
0208083;Lądek-Zdrój (3);w wieku przedprodukcyjnym;2015;14,0;%; 
0208083;Lądek-Zdrój (3);w wieku przedprodukcyjnym;2022;14,5;%; 
0208083;Lądek-Zdrój (3);w wieku produkcyjnym;2015;63,0;%; 
0208083;Lądek-Zdrój (3);w wieku produkcyjnym;2022;56,5;%; 
0208084;Lądek-Zdrój - miasto (4);w wieku przedprodukcyjnym;2015;13,1;%; 
0208084;Lądek-Zdrój - miasto (4);w wieku przedprodukcyjnym;2022;13,4;%; 
0208084;Lądek-Zdrój - miasto (4);w wieku produkcyjnym;2015;61,9;%; 
0208084;Lądek-Zdrój - miasto (4);w wieku produkcyjnym;2022;55,1;%; 
0208085;Lądek-Zdrój - obszar wiejski (5);w wieku przedprodukcyjnym;2015;15,8;%; 
0208085;Lądek-Zdrój - obszar wiejski (5);w wieku przedprodukcyjnym;2022;16,5;%; 
0208085;Lądek-Zdrój - obszar wiejski (5);w wieku produkcyjnym;2015;65,5;%; 
0208085;Lądek-Zdrój - obszar wiejski (5);w wieku produkcyjnym;2022;59,2;%; 
0208092;Lewin Kłodzki (2);w wieku przedprodukcyjnym;2015;17,1;%; 
0208092;Lewin Kłodzki (2);w wieku przedprodukcyjnym;2022;18,4;%; 
0208092;Lewin Kłodzki (2);w wieku produkcyjnym;2015;65,5;%; 
0208092;Lewin Kłodzki (2);w wieku produkcyjnym;2022;58,7;%; 
0208103;Międzylesie (3);w wieku przedprodukcyjnym;2015;16,8;%; 
0208103;Międzylesie (3);w wieku przedprodukcyjnym;2022;17,8;%; 
0208103;Międzylesie (3);w wieku produkcyjnym;2015;64,1;%; 
0208103;Międzylesie (3);w wieku produkcyjnym;2022;57,3;%; 
0208104;Międzylesie - miasto (4);w wieku przedprodukcyjnym;2015;16,1;%; 
0208104;Międzylesie - miasto (4);w wieku przedprodukcyjnym;2022;16,1;%; 
0208104;Międzylesie - miasto (4);w wieku produkcyjnym;2015;62,5;%; 
0208104;Międzylesie - miasto (4);w wieku produkcyjnym;2022;57,3;%; 
0208105;Międzylesie - obszar wiejski (5);w wieku przedprodukcyjnym;2015;17,2;%; 
0208105;Międzylesie - obszar wiejski (5);w wieku przedprodukcyjnym;2022;18,7;%; 
0208105;Międzylesie - obszar wiejski (5);w wieku produkcyjnym;2015;65,0;%; 
0208105;Międzylesie - obszar wiejski (5);w wieku produkcyjnym;2022;57,3;%; 
0208112;Nowa Ruda (2);w wieku przedprodukcyjnym;2015;16,3;%; 
0208112;Nowa Ruda (2);w wieku przedprodukcyjnym;2022;17,2;%; 
0208112;Nowa Ruda (2);w wieku produkcyjnym;2015;64,7;%; 
0208112;Nowa Ruda (2);w wieku produkcyjnym;2022;58,5;%; 
0208123;Radków (3);w wieku przedprodukcyjnym;2015;16,5;%; 
0208123;Radków (3);w wieku przedprodukcyjnym;2022;17,5;%; 
0208123;Radków (3);w wieku produkcyjnym;2015;65,0;%; 
0208123;Radków (3);w wieku produkcyjnym;2022;58,4;%; 
0208124;Radków - miasto (4);w wieku przedprodukcyjnym;2015;15,4;%; 
0208124;Radków - miasto (4);w wieku przedprodukcyjnym;2022;16,8;%; 
0208124;Radków - miasto (4);w wieku produkcyjnym;2015;64,6;%; 
0208124;Radków - miasto (4);w wieku produkcyjnym;2022;57,6;%; 
0208125;Radków - obszar wiejski (5);w wieku przedprodukcyjnym;2015;16,9;%; 
0208125;Radków - obszar wiejski (5);w wieku przedprodukcyjnym;2022;17,7;%; 
0208125;Radków - obszar wiejski (5);w wieku produkcyjnym;2015;65,1;%; 
0208125;Radków - obszar wiejski (5);w wieku produkcyjnym;2022;58,7;%; 
0208133;Stronie Śląskie (3);w wieku przedprodukcyjnym;2015;14,5;%; 
0208133;Stronie Śląskie (3);w wieku przedprodukcyjnym;2022;14,7;%; 
0208133;Stronie Śląskie (3);w wieku produkcyjnym;2015;64,1;%; 
0208133;Stronie Śląskie (3);w wieku produkcyjnym;2022;57,3;%; 
0208134;Stronie Śląskie - miasto (4);w wieku przedprodukcyjnym;2015;13,7;%; 
0208134;Stronie Śląskie - miasto (4);w wieku przedprodukcyjnym;2022;13,3;%; 
0208134;Stronie Śląskie - miasto (4);w wieku produkcyjnym;2015;63,3;%; 
0208134;Stronie Śląskie - miasto (4);w wieku produkcyjnym;2022;55,7;%; 
0208135;Stronie Śląskie - obszar wiejski (5);w wieku przedprodukcyjnym;2015;17,3;%; 
0208135;Stronie Śląskie - obszar wiejski (5);w wieku przedprodukcyjnym;2022;18,8;%; 
0208135;Stronie Śląskie - obszar wiejski (5);w wieku produkcyjnym;2015;66,9;%; 
0208135;Stronie Śląskie - obszar wiejski (5);w wieku produkcyjnym;2022;61,8;%; 
0208143;Szczytna (3);w wieku przedprodukcyjnym;2015;16,3;%; 
0208143;Szczytna (3);w wieku przedprodukcyjnym;2022;16,9;%; 
0208143;Szczytna (3);w wieku produkcyjnym;2015;64,5;%; 
0208143;Szczytna (3);w wieku produkcyjnym;2022;57,2;%; 
0208144;Szczytna - miasto (4);w wieku przedprodukcyjnym;2015;15,2;%; 
0208144;Szczytna - miasto (4);w wieku przedprodukcyjnym;2022;15,8;%; 
0208144;Szczytna - miasto (4);w wieku produkcyjnym;2015;64,2;%; 
0208144;Szczytna - miasto (4);w wieku produkcyjnym;2022;55,8;%; 
0208145;Szczytna - obszar wiejski (5);w wieku przedprodukcyjnym;2015;19,2;%; 
0208145;Szczytna - obszar wiejski (5);w wieku przedprodukcyjnym;2022;19,2;%; 
0208145;Szczytna - obszar wiejski (5);w wieku produkcyjnym;2015;65,2;%; 
0208145;Szczytna - obszar wiejski (5);w wieku produkcyjnym;2022;60,6;%; 
0209011;Chojnów (1);w wieku przedprodukcyjnym;2015;15,5;%; 
0209011;Chojnów (1);w wieku przedprodukcyjnym;2022;16,1;%; 
0209011;Chojnów (1);w wieku produkcyjnym;2015;64,3;%; 
0209011;Chojnów (1);w wieku produkcyjnym;2022;56,7;%; 
0209022;Chojnów (2);w wieku przedprodukcyjnym;2015;18,1;%; 
0209022;Chojnów (2);w wieku przedprodukcyjnym;2022;19,5;%; 
0209022;Chojnów (2);w wieku produkcyjnym;2015;64,6;%; 
0209022;Chojnów (2);w wieku produkcyjnym;2022;59,2;%; 
0209032;Krotoszyce (2);w wieku przedprodukcyjnym;2015;19,6;%; 
0209032;Krotoszyce (2);w wieku przedprodukcyjnym;2022;20,3;%; 
0209032;Krotoszyce (2);w wieku produkcyjnym;2015;65,4;%; 
0209032;Krotoszyce (2);w wieku produkcyjnym;2022;59,7;%; 
0209042;Kunice (2);w wieku przedprodukcyjnym;2015;19,7;%; 
0209042;Kunice (2);w wieku przedprodukcyjnym;2022;21,5;%; 
0209042;Kunice (2);w wieku produkcyjnym;2015;65,8;%; 
0209042;Kunice (2);w wieku produkcyjnym;2022;59,7;%; 
0209052;Legnickie Pole (2);w wieku przedprodukcyjnym;2015;18,1;%; 
