Kod;Nazwa;Wskaźniki;Rok;Wartosc;Jednostka miary;Atrybut
0201052;Osiecznica (2);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;30,3;osoba; 
0201052;Osiecznica (2);współczynnik obciążenia demograficznego osobami starszymi;2015;15,9;osoba; 
0201052;Osiecznica (2);współczynnik obciążenia demograficznego osobami starszymi;2022;22,6;osoba; 
0201062;Warta Bolesławiecka (2);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;24,2;osoba; 
0201062;Warta Bolesławiecka (2);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;33,6;osoba; 
0201062;Warta Bolesławiecka (2);współczynnik obciążenia demograficznego osobami starszymi;2015;16,6;osoba; 
0201062;Warta Bolesławiecka (2);współczynnik obciążenia demograficznego osobami starszymi;2022;24,4;osoba; 
0202011;Bielawa (1);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;37,2;osoba; 
0202011;Bielawa (1);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;50,0;osoba; 
0202011;Bielawa (1);współczynnik obciążenia demograficznego osobami starszymi;2015;26,0;osoba; 
0202011;Bielawa (1);współczynnik obciążenia demograficznego osobami starszymi;2022;38,2;osoba; 
0202021;Dzierżoniów (1);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;40,7;osoba; 
0202021;Dzierżoniów (1);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;53,6;osoba; 
0202021;Dzierżoniów (1);współczynnik obciążenia demograficznego osobami starszymi;2015;29,2;osoba; 
0202021;Dzierżoniów (1);współczynnik obciążenia demograficznego osobami starszymi;2022;41,1;osoba; 
0202031;Pieszyce (1);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;31,5;osoba; 
0202031;Pieszyce (1);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;-;osoba; 
0202031;Pieszyce (1);współczynnik obciążenia demograficznego osobami starszymi;2015;22,0;osoba; 
0202031;Pieszyce (1);współczynnik obciążenia demograficznego osobami starszymi;2022;-;osoba; 
0202033;Pieszyce (3);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;-;osoba; 
0202033;Pieszyce (3);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;42,3;osoba; 
0202033;Pieszyce (3);współczynnik obciążenia demograficznego osobami starszymi;2015;-;osoba; 
0202033;Pieszyce (3);współczynnik obciążenia demograficznego osobami starszymi;2022;32,4;osoba; 
0202034;Pieszyce - miasto (4);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;-;osoba; 
0202034;Pieszyce - miasto (4);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;42,9;osoba; 
0202034;Pieszyce - miasto (4);współczynnik obciążenia demograficznego osobami starszymi;2015;-;osoba; 
0202034;Pieszyce - miasto (4);współczynnik obciążenia demograficznego osobami starszymi;2022;32,6;osoba; 
0202035;Pieszyce - obszar wiejski (5);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;-;osoba; 
0202035;Pieszyce - obszar wiejski (5);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;40,3;osoba; 
0202035;Pieszyce - obszar wiejski (5);współczynnik obciążenia demograficznego osobami starszymi;2015;-;osoba; 
0202035;Pieszyce - obszar wiejski (5);współczynnik obciążenia demograficznego osobami starszymi;2022;32,0;osoba; 
0202041;Piława Górna (1);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;28,5;osoba; 
0202041;Piława Górna (1);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;41,7;osoba; 
0202041;Piława Górna (1);współczynnik obciążenia demograficznego osobami starszymi;2015;21,0;osoba; 
0202041;Piława Górna (1);współczynnik obciążenia demograficznego osobami starszymi;2022;30,4;osoba; 
0202052;Dzierżoniów (2);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;28,2;osoba; 
0202052;Dzierżoniów (2);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;37,8;osoba; 
0202052;Dzierżoniów (2);współczynnik obciążenia demograficznego osobami starszymi;2015;19,9;osoba; 
0202052;Dzierżoniów (2);współczynnik obciążenia demograficznego osobami starszymi;2022;28,2;osoba; 
0202062;Łagiewniki (2);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;28,5;osoba; 
0202062;Łagiewniki (2);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;38,6;osoba; 
0202062;Łagiewniki (2);współczynnik obciążenia demograficznego osobami starszymi;2015;20,7;osoba; 
0202062;Łagiewniki (2);współczynnik obciążenia demograficznego osobami starszymi;2022;28,6;osoba; 
0202073;Niemcza (3);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;32,8;osoba; 
0202073;Niemcza (3);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;44,6;osoba; 
0202073;Niemcza (3);współczynnik obciążenia demograficznego osobami starszymi;2015;24,4;osoba; 
0202073;Niemcza (3);współczynnik obciążenia demograficznego osobami starszymi;2022;33,7;osoba; 
0202074;Niemcza - miasto (4);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;38,3;osoba; 
0202074;Niemcza - miasto (4);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;51,0;osoba; 
0202074;Niemcza - miasto (4);współczynnik obciążenia demograficznego osobami starszymi;2015;29,2;osoba; 
0202074;Niemcza - miasto (4);współczynnik obciążenia demograficznego osobami starszymi;2022;38,4;osoba; 
0202075;Niemcza - obszar wiejski (5);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;26,6;osoba; 
0202075;Niemcza - obszar wiejski (5);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;37,9;osoba; 
0202075;Niemcza - obszar wiejski (5);współczynnik obciążenia demograficznego osobami starszymi;2015;19,0;osoba; 
0202075;Niemcza - obszar wiejski (5);współczynnik obciążenia demograficznego osobami starszymi;2022;28,6;osoba; 
0203011;Głogów (1);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;33,2;osoba; 
0203011;Głogów (1);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;48,8;osoba; 
0203011;Głogów (1);współczynnik obciążenia demograficznego osobami starszymi;2015;22,3;osoba; 
0203011;Głogów (1);współczynnik obciążenia demograficznego osobami starszymi;2022;37,8;osoba; 
0203022;Głogów (2);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;21,7;osoba; 
0203022;Głogów (2);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;30,9;osoba; 
0203022;Głogów (2);współczynnik obciążenia demograficznego osobami starszymi;2015;15,1;osoba; 
0203022;Głogów (2);współczynnik obciążenia demograficznego osobami starszymi;2022;22,1;osoba; 
0203032;Jerzmanowa (2);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;18,6;osoba; 
0203032;Jerzmanowa (2);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;23,0;osoba; 
0203032;Jerzmanowa (2);współczynnik obciążenia demograficznego osobami starszymi;2015;13,3;osoba; 
0203032;Jerzmanowa (2);współczynnik obciążenia demograficznego osobami starszymi;2022;17,7;osoba; 
0203042;Kotla (2);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;24,2;osoba; 
0203042;Kotla (2);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;31,7;osoba; 
0203042;Kotla (2);współczynnik obciążenia demograficznego osobami starszymi;2015;17,3;osoba; 
0203042;Kotla (2);współczynnik obciążenia demograficznego osobami starszymi;2022;23,5;osoba; 
0203052;Pęcław (2);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;22,7;osoba; 
0203052;Pęcław (2);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;35,7;osoba; 
0203052;Pęcław (2);współczynnik obciążenia demograficznego osobami starszymi;2015;15,3;osoba; 
0203052;Pęcław (2);współczynnik obciążenia demograficznego osobami starszymi;2022;26,1;osoba; 
0203062;Żukowice (2);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;24,2;osoba; 
0203062;Żukowice (2);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;32,9;osoba; 
0203062;Żukowice (2);współczynnik obciążenia demograficznego osobami starszymi;2015;17,4;osoba; 
0203062;Żukowice (2);współczynnik obciążenia demograficznego osobami starszymi;2022;24,5;osoba; 
0204013;Góra (3);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;29,6;osoba; 
0204013;Góra (3);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;41,8;osoba; 
0204013;Góra (3);współczynnik obciążenia demograficznego osobami starszymi;2015;21,0;osoba; 
0204013;Góra (3);współczynnik obciążenia demograficznego osobami starszymi;2022;31,4;osoba; 
0204014;Góra - miasto (4);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;31,4;osoba; 
0204014;Góra - miasto (4);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;47,1;osoba; 
0204014;Góra - miasto (4);współczynnik obciążenia demograficznego osobami starszymi;2015;22,0;osoba; 
0204014;Góra - miasto (4);współczynnik obciążenia demograficznego osobami starszymi;2022;34,8;osoba; 
0204015;Góra - obszar wiejski (5);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;26,9;osoba; 
0204015;Góra - obszar wiejski (5);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;34,7;osoba; 
0204015;Góra - obszar wiejski (5);współczynnik obciążenia demograficznego osobami starszymi;2015;19,5;osoba; 
0204015;Góra - obszar wiejski (5);współczynnik obciążenia demograficznego osobami starszymi;2022;26,7;osoba; 
0204022;Jemielno (2);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;28,1;osoba; 
0204022;Jemielno (2);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;38,8;osoba; 
0204022;Jemielno (2);współczynnik obciążenia demograficznego osobami starszymi;2015;20,2;osoba; 
0204022;Jemielno (2);współczynnik obciążenia demograficznego osobami starszymi;2022;28,8;osoba; 
0204032;Niechlów (2);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;26,5;osoba; 
0204032;Niechlów (2);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;37,1;osoba; 
0204032;Niechlów (2);współczynnik obciążenia demograficznego osobami starszymi;2015;19,9;osoba; 
0204032;Niechlów (2);współczynnik obciążenia demograficznego osobami starszymi;2022;27,5;osoba; 
0204043;Wąsosz (3);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;28,3;osoba; 
0204043;Wąsosz (3);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;39,3;osoba; 
0204043;Wąsosz (3);współczynnik obciążenia demograficznego osobami starszymi;2015;20,6;osoba; 
0204043;Wąsosz (3);współczynnik obciążenia demograficznego osobami starszymi;2022;29,0;osoba; 
0204044;Wąsosz - miasto (4);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;28,5;osoba; 
0204044;Wąsosz - miasto (4);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;42,3;osoba; 
0204044;Wąsosz - miasto (4);współczynnik obciążenia demograficznego osobami starszymi;2015;19,4;osoba; 
0204044;Wąsosz - miasto (4);współczynnik obciążenia demograficznego osobami starszymi;2022;31,5;osoba; 
0204045;Wąsosz - obszar wiejski (5);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;28,2;osoba; 
0204045;Wąsosz - obszar wiejski (5);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;37,5;osoba; 
0204045;Wąsosz - obszar wiejski (5);współczynnik obciążenia demograficznego osobami starszymi;2015;21,2;osoba; 
0204045;Wąsosz - obszar wiejski (5);współczynnik obciążenia demograficznego osobami starszymi;2022;27,6;osoba; 
0205011;Jawor (1);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;32,1;osoba; 
0205011;Jawor (1);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;50,0;osoba; 
0205011;Jawor (1);współczynnik obciążenia demograficznego osobami starszymi;2015;22,4;osoba; 
0205011;Jawor (1);współczynnik obciążenia demograficznego osobami starszymi;2022;37,3;osoba; 
0205023;Bolków (3);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;32,4;osoba; 
0205023;Bolków (3);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;44,2;osoba; 
0205023;Bolków (3);współczynnik obciążenia demograficznego osobami starszymi;2015;23,2;osoba; 
0205023;Bolków (3);współczynnik obciążenia demograficznego osobami starszymi;2022;32,9;osoba; 
0205024;Bolków - miasto (4);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;37,1;osoba; 
0205024;Bolków - miasto (4);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;48,2;osoba; 
0205024;Bolków - miasto (4);współczynnik obciążenia demograficznego osobami starszymi;2015;27,2;osoba; 
0205024;Bolków - miasto (4);współczynnik obciążenia demograficznego osobami starszymi;2022;36,1;osoba; 
0205025;Bolków - obszar wiejski (5);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;28,0;osoba; 
0205025;Bolków - obszar wiejski (5);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;40,6;osoba; 
0205025;Bolków - obszar wiejski (5);współczynnik obciążenia demograficznego osobami starszymi;2015;19,4;osoba; 
0205025;Bolków - obszar wiejski (5);współczynnik obciążenia demograficznego osobami starszymi;2022;30,0;osoba; 
0205032;Męcinka (2);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;27,2;osoba; 
0205032;Męcinka (2);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;32,6;osoba; 
0205032;Męcinka (2);współczynnik obciążenia demograficznego osobami starszymi;2015;19,4;osoba; 
0205032;Męcinka (2);współczynnik obciążenia demograficznego osobami starszymi;2022;24,8;osoba; 
0205042;Mściwojów (2);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;29,2;osoba; 
0205042;Mściwojów (2);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;37,2;osoba; 
0205042;Mściwojów (2);współczynnik obciążenia demograficznego osobami starszymi;2015;20,9;osoba; 
0205042;Mściwojów (2);współczynnik obciążenia demograficznego osobami starszymi;2022;27,5;osoba; 
0205052;Paszowice (2);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;24,6;osoba; 
0205052;Paszowice (2);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;33,1;osoba; 
0205052;Paszowice (2);współczynnik obciążenia demograficznego osobami starszymi;2015;18,2;osoba; 
0205052;Paszowice (2);współczynnik obciążenia demograficznego osobami starszymi;2022;24,7;osoba; 
0205062;Wądroże Wielkie (2);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;27,8;osoba; 
0205062;Wądroże Wielkie (2);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;39,4;osoba; 
0205062;Wądroże Wielkie (2);współczynnik obciążenia demograficznego osobami starszymi;2015;20,9;osoba; 
0205062;Wądroże Wielkie (2);współczynnik obciążenia demograficznego osobami starszymi;2022;29,0;osoba; 
0206011;Karpacz (1);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;33,3;osoba; 
0206011;Karpacz (1);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;50,4;osoba; 
0206011;Karpacz (1);współczynnik obciążenia demograficznego osobami starszymi;2015;22,0;osoba; 
0206011;Karpacz (1);współczynnik obciążenia demograficznego osobami starszymi;2022;37,1;osoba; 
0206021;Kowary (1);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;35,6;osoba; 
0206021;Kowary (1);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;52,1;osoba; 
0206021;Kowary (1);współczynnik obciążenia demograficznego osobami starszymi;2015;23,8;osoba; 
0206021;Kowary (1);współczynnik obciążenia demograficznego osobami starszymi;2022;40,3;osoba; 
0206031;Piechowice (1);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;34,9;osoba; 
0206031;Piechowice (1);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;51,2;osoba; 
0206031;Piechowice (1);współczynnik obciążenia demograficznego osobami starszymi;2015;24,3;osoba; 
0206031;Piechowice (1);współczynnik obciążenia demograficznego osobami starszymi;2022;38,3;osoba; 
0206041;Szklarska Poręba (1);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;36,2;osoba; 
0206041;Szklarska Poręba (1);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;50,7;osoba; 
0206041;Szklarska Poręba (1);współczynnik obciążenia demograficznego osobami starszymi;2015;25,1;osoba; 
0206041;Szklarska Poręba (1);współczynnik obciążenia demograficznego osobami starszymi;2022;37,2;osoba; 
0206052;Janowice Wielkie (2);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;28,6;osoba; 
0206052;Janowice Wielkie (2);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;40,4;osoba; 
0206052;Janowice Wielkie (2);współczynnik obciążenia demograficznego osobami starszymi;2015;20,1;osoba; 
0206052;Janowice Wielkie (2);współczynnik obciążenia demograficznego osobami starszymi;2022;30,3;osoba; 
0206062;Jeżów Sudecki (2);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;25,5;osoba; 
0206062;Jeżów Sudecki (2);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;33,2;osoba; 
0206062;Jeżów Sudecki (2);współczynnik obciążenia demograficznego osobami starszymi;2015;16,9;osoba; 
0206062;Jeżów Sudecki (2);współczynnik obciążenia demograficznego osobami starszymi;2022;25,5;osoba; 
0206072;Mysłakowice (2);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;28,7;osoba; 
0206072;Mysłakowice (2);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;40,4;osoba; 
0206072;Mysłakowice (2);współczynnik obciążenia demograficznego osobami starszymi;2015;19,4;osoba; 
0206072;Mysłakowice (2);współczynnik obciążenia demograficznego osobami starszymi;2022;29,9;osoba; 
0206082;Podgórzyn (2);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;32,2;osoba; 
0206082;Podgórzyn (2);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;43,2;osoba; 
0206082;Podgórzyn (2);współczynnik obciążenia demograficznego osobami starszymi;2015;22,5;osoba; 
0206082;Podgórzyn (2);współczynnik obciążenia demograficznego osobami starszymi;2022;33,3;osoba; 
0206092;Stara Kamienica (2);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;26,8;osoba; 
0206092;Stara Kamienica (2);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;37,6;osoba; 
0206092;Stara Kamienica (2);współczynnik obciążenia demograficznego osobami starszymi;2015;17,9;osoba; 
0206092;Stara Kamienica (2);współczynnik obciążenia demograficznego osobami starszymi;2022;28,2;osoba; 
0207011;Kamienna Góra (1);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;37,5;osoba; 
0207011;Kamienna Góra (1);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;48,8;osoba; 
0207011;Kamienna Góra (1);współczynnik obciążenia demograficznego osobami starszymi;2015;27,1;osoba; 
0207011;Kamienna Góra (1);współczynnik obciążenia demograficznego osobami starszymi;2022;37,4;osoba; 
0207022;Kamienna Góra (2);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;23,2;osoba; 
0207022;Kamienna Góra (2);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;33,4;osoba; 
0207022;Kamienna Góra (2);współczynnik obciążenia demograficznego osobami starszymi;2015;16,4;osoba; 
0207022;Kamienna Góra (2);współczynnik obciążenia demograficznego osobami starszymi;2022;24,3;osoba; 
0207033;Lubawka (3);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;31,5;osoba; 
0207033;Lubawka (3);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;44,9;osoba; 
0207033;Lubawka (3);współczynnik obciążenia demograficznego osobami starszymi;2015;22,4;osoba; 
0207033;Lubawka (3);współczynnik obciążenia demograficznego osobami starszymi;2022;33,4;osoba; 
0207034;Lubawka - miasto (4);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;33,8;osoba; 
0207034;Lubawka - miasto (4);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;48,2;osoba; 
0207034;Lubawka - miasto (4);współczynnik obciążenia demograficznego osobami starszymi;2015;23,6;osoba; 
0207034;Lubawka - miasto (4);współczynnik obciążenia demograficznego osobami starszymi;2022;35,9;osoba; 
0207035;Lubawka - obszar wiejski (5);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;28,7;osoba; 
0207035;Lubawka - obszar wiejski (5);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;41,1;osoba; 
0207035;Lubawka - obszar wiejski (5);współczynnik obciążenia demograficznego osobami starszymi;2015;20,9;osoba; 
0207035;Lubawka - obszar wiejski (5);współczynnik obciążenia demograficznego osobami starszymi;2022;30,4;osoba; 
0207042;Marciszów (2);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;28,2;osoba; 
0207042;Marciszów (2);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;40,4;osoba; 
0207042;Marciszów (2);współczynnik obciążenia demograficznego osobami starszymi;2015;20,5;osoba; 
0207042;Marciszów (2);współczynnik obciążenia demograficznego osobami starszymi;2022;30,8;osoba; 
0208011;Duszniki-Zdrój (1);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;43,7;osoba; 
0208011;Duszniki-Zdrój (1);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;62,0;osoba; 
0208011;Duszniki-Zdrój (1);współczynnik obciążenia demograficznego osobami starszymi;2015;30,6;osoba; 
0208011;Duszniki-Zdrój (1);współczynnik obciążenia demograficznego osobami starszymi;2022;47,1;osoba; 
0208021;Kłodzko (1);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;40,2;osoba; 
0208021;Kłodzko (1);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;51,2;osoba; 
0208021;Kłodzko (1);współczynnik obciążenia demograficznego osobami starszymi;2015;28,9;osoba; 
0208021;Kłodzko (1);współczynnik obciążenia demograficznego osobami starszymi;2022;40,2;osoba; 
0208031;Kudowa-Zdrój (1);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;37,1;osoba; 
0208031;Kudowa-Zdrój (1);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;48,8;osoba; 
0208031;Kudowa-Zdrój (1);współczynnik obciążenia demograficznego osobami starszymi;2015;26,8;osoba; 
0208031;Kudowa-Zdrój (1);współczynnik obciążenia demograficznego osobami starszymi;2022;36,4;osoba; 
0208041;Nowa Ruda (1);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;39,0;osoba; 
0208041;Nowa Ruda (1);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;52,0;osoba; 
0208041;Nowa Ruda (1);współczynnik obciążenia demograficznego osobami starszymi;2015;28,9;osoba; 
0208041;Nowa Ruda (1);współczynnik obciążenia demograficznego osobami starszymi;2022;38,7;osoba; 
0208051;Polanica-Zdrój (1);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2015;45,8;osoba; 
0208051;Polanica-Zdrój (1);ludność w wieku poprodukcyjnym na 100 osób w wieku produkcyjnym;2022;59,8;osoba; 
0208051;Polanica-Zdrój (1);współczynnik obciążenia demograficznego osobami starszymi;2015;33,1;osoba; 
0208051;Polanica-Zdrój (1);współczynnik obciążenia demograficznego osobami starszymi;2022;45,9;osoba; 
